iter	Passed	Remaining
0	0	750
1	1	684
2	1	661
3	2	650
4	2	571
5	4	663
6	4	659
7	5	669
8	6	661
9	6	658
10	7	638
11	7	637
12	8	636
13	8	632
14	9	630
15	10	628
16	10	628
17	11	623
18	12	621
19	12	619
20	13	620
21	13	617
22	14	614
23	15	613
24	15	612
25	16	609
26	16	608
27	17	606
28	18	604
29	18	603
30	19	618
31	20	616
32	20	614
33	21	612
34	22	610
35	22	609
36	23	607
37	23	605
38	24	604
39	25	602
40	25	601
41	26	598
42	26	596
43	27	595
44	27	593
45	28	592
46	29	590
47	29	588
48	30	587
49	30	587
50	31	586
51	32	585
52	32	578
53	32	577
54	33	576
55	34	575
56	34	574
57	35	575
58	36	574
59	36	574
60	37	573
61	37	573
62	38	573
63	39	572
64	39	572
65	40	570
66	40	569
67	41	568
68	42	568
69	42	567
70	43	567
71	43	565
72	44	564
73	45	563
74	45	562
75	46	561
76	46	560
77	47	559
78	47	559
79	48	557
80	49	556
81	49	556
82	50	555
83	50	554
84	51	554
85	52	553
86	52	552
87	53	551
88	53	551
89	54	550
90	55	549
91	55	549
92	56	548
93	56	547
94	57	546
95	57	545
96	58	544
97	59	543
98	59	542
99	60	541
100	60	541
101	61	541
102	62	540
103	62	539
104	63	538
105	63	537
106	64	537
107	64	536
108	65	535
109	66	535
110	66	535
111	67	535
112	68	534
113	68	533
114	69	533
115	69	532
116	70	531
117	71	531
118	71	529
119	72	529
120	72	527
121	73	527
122	73	526
123	74	526
124	75	525
125	75	524
126	76	523
127	76	522
128	77	521
129	77	521
130	78	520
131	79	520
132	79	519
133	80	518
134	80	517
135	81	517
136	82	517
137	82	517
138	83	516
139	84	516
140	84	515
141	85	514
142	85	513
143	86	513
144	86	512
145	87	511
146	88	511
147	88	510
148	89	510
149	90	511
150	90	510
151	91	509
152	91	508
153	92	507
154	93	507
155	93	506
156	94	505
157	94	505
158	95	504
159	96	504
160	96	503
161	97	502
162	97	501
163	98	502
164	98	500
165	99	499
166	100	499
167	100	498
168	101	497
169	101	497
170	102	497
171	103	496
172	103	495
173	104	494
174	104	494
175	105	493
176	106	493
177	106	492
178	107	492
179	107	491
180	108	491
181	109	490
182	109	489
183	110	489
184	110	488
185	111	489
186	112	487
187	112	487
188	113	486
189	114	486
190	114	485
191	115	484
192	115	484
193	116	484
194	117	484
195	118	484
196	118	484
197	119	483
198	120	483
199	120	483
200	121	483
201	122	482
202	122	482
203	123	481
204	124	481
205	125	484
206	126	484
207	127	483
208	127	483
209	128	482
210	128	482
211	129	481
212	130	481
213	130	480
214	131	479
215	132	479
216	132	478
217	133	478
218	133	477
219	134	476
220	135	476
221	135	475
222	136	474
223	136	474
224	137	473
225	138	473
226	138	472
227	139	472
228	140	471
229	140	471
230	141	470
231	141	469
232	142	469
233	143	468
234	143	467
235	144	467
236	144	466
237	145	465
238	146	465
239	146	464
240	147	463
241	147	463
242	148	462
243	149	461
244	149	461
245	150	460
246	150	460
247	151	459
248	152	458
249	153	459
250	153	458
251	154	457
252	154	457
253	155	456
254	156	456
255	156	455
256	157	454
257	157	454
258	158	453
259	159	452
260	159	451
261	160	451
262	160	450
263	161	449
264	162	449
265	162	448
266	163	448
267	163	447
268	164	446
269	164	446
270	165	445
271	166	444
272	166	444
273	167	443
274	167	442
275	168	442
276	169	441
277	169	441
278	170	440
279	171	439
280	171	439
281	172	438
282	172	438
283	173	437
284	174	436
285	174	436
286	175	435
287	175	434
288	176	434
289	177	433
290	177	432
291	178	432
292	179	432
293	179	431
294	180	430
295	180	430
296	181	429
297	182	428
298	182	428
299	183	427
300	183	426
301	184	426
302	184	425
303	185	424
304	186	424
305	186	423
306	187	423
307	188	422
308	188	421
309	189	421
310	189	420
311	190	419
312	191	419
313	191	418
314	192	417
315	192	417
316	193	416
317	194	416
318	194	415
319	195	415
320	195	414
321	196	413
322	197	413
323	197	412
324	198	411
325	198	411
326	199	410
327	199	409
328	200	409
329	201	408
330	201	407
331	202	407
332	202	406
333	203	405
334	203	404
335	204	404
336	205	403
337	205	403
338	206	402
339	207	402
340	208	402
341	208	401
342	209	401
343	210	400
344	210	400
345	211	399
346	211	398
347	212	398
348	213	397
349	213	397
350	214	396
351	215	395
352	215	395
353	216	394
354	216	393
355	217	393
356	217	392
357	218	391
358	219	391
359	219	390
360	220	390
361	221	389
362	221	388
363	222	388
364	222	387
365	223	386
366	223	386
367	224	385
368	225	385
369	226	384
370	226	384
371	227	383
372	227	383
373	228	382
374	229	381
375	229	381
376	230	380
377	230	379
378	231	379
379	232	378
380	232	378
381	233	377
382	233	376
383	234	376
384	235	375
385	235	374
386	236	374
387	236	373
388	237	372
389	237	372
390	238	371
391	239	370
392	239	370
393	240	369
394	241	369
395	241	368
396	242	368
397	242	367
398	243	366
399	244	366
400	244	365
401	245	364
402	245	364
403	246	363
404	247	363
405	247	362
406	248	361
407	248	361
408	249	360
409	249	359
410	250	359
411	251	358
412	251	357
413	252	357
414	253	356
415	253	356
416	254	355
417	254	354
418	255	353
419	255	353
420	256	352
421	257	352
422	257	351
423	258	350
424	258	350
425	259	349
426	260	349
427	261	349
428	262	349
429	262	348
430	263	347
431	264	347
432	264	346
433	265	345
434	265	345
435	266	344
436	267	344
437	267	343
438	268	342
439	268	342
440	269	341
441	270	340
442	270	340
443	271	339
444	271	338
445	272	338
446	273	338
447	274	337
448	274	337
449	275	336
450	276	335
451	276	335
452	277	334
453	277	334
454	278	333
455	279	332
456	279	332
457	280	331
458	281	331
459	281	331
460	282	330
461	283	329
462	283	329
463	284	328
464	285	327
465	286	327
466	286	327
467	287	326
468	288	326
469	289	326
470	289	325
471	290	325
472	291	324
473	292	324
474	294	325
475	295	325
476	296	324
477	297	324
478	297	323
479	298	323
480	299	322
481	300	322
482	301	322
483	302	322
484	302	321
485	303	320
486	303	320
487	304	319
488	305	318
489	305	318
490	306	317
491	307	317
492	307	316
493	308	315
494	308	314
495	309	314
496	309	313
497	310	312
498	311	312
499	311	311
500	312	310
501	312	310
502	313	309
503	314	309
504	314	308
505	315	307
506	315	307
507	316	306
508	317	305
509	317	305
510	318	304
511	318	303
512	319	303
513	320	302
514	320	302
515	321	301
516	321	300
517	322	300
518	323	299
519	323	298
520	324	298
521	324	297
522	325	296
523	325	296
524	326	295
525	327	294
526	327	294
527	328	293
528	328	292
529	329	292
530	330	291
531	330	290
532	331	290
533	331	289
534	332	288
535	332	288
536	333	287
537	334	286
538	334	286
539	335	285
540	336	285
541	336	284
542	337	283
543	337	283
544	338	282
545	339	281
546	339	281
547	340	280
548	340	280
549	341	279
550	342	278
551	342	278
552	343	277
553	343	276
554	344	276
555	345	275
556	345	274
557	346	274
558	346	273
559	347	273
560	348	272
561	348	271
562	349	271
563	349	270
564	350	269
565	351	269
566	351	268
567	352	268
568	352	267
569	353	266
570	354	266
571	354	265
572	355	264
573	355	264
574	356	263
575	357	262
576	357	262
577	358	261
578	358	260
579	359	260
580	360	259
581	360	259
582	361	258
583	361	257
584	362	256
585	362	256
586	363	255
587	363	254
588	364	254
589	365	253
590	365	253
591	366	252
592	366	251
593	367	251
594	368	250
595	368	249
596	369	249
597	369	248
598	370	248
599	371	247
600	371	246
601	372	246
602	372	245
603	373	244
604	373	244
605	374	243
606	374	242
607	375	242
608	375	241
609	376	240
610	377	240
611	377	239
612	378	238
613	378	238
614	379	237
615	380	236
616	380	236
617	381	235
618	381	234
619	382	234
620	382	233
621	383	232
622	383	232
623	384	231
624	385	231
625	385	230
626	386	229
627	386	229
628	387	228
629	388	227
630	388	227
631	389	226
632	389	226
633	390	225
634	391	224
635	391	224
636	392	223
637	392	222
638	393	222
639	394	221
640	394	220
641	395	220
642	395	219
643	396	219
644	396	218
645	397	217
646	398	217
647	399	217
648	400	216
649	401	216
650	402	215
651	402	215
652	403	214
653	404	213
654	405	213
655	406	213
656	406	212
657	407	211
658	408	211
659	409	211
660	410	210
661	411	210
662	413	209
663	413	209
664	414	208
665	415	208
666	416	207
